Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2022-01-03,104487900,28865100,391547000,103931400,3831020000
2022-01-04,99310400,32674300,527154000,100248300,4683170000
2022-01-05,94537600,40054300,498064000,80119800,4887960000
2022-01-06,96904000,39646100,454186000,90336600,4295280000
2022-01-07,86709100,32720000,409939000,84164700,4181510000
2022-01-10,106765600,44289500,594681000,91815000,4511810000
2022-01-11,76138300,29386800,404089000,66063300,4101590000
2022-01-12,74805200,34372200,383413000,83739000,4048220000
2022-01-13,84505800,45366000,540171000,97209900,4251730000
2022-01-14,80440800,39846400,395832000,72924300,4338490000
2022-01-18,90956700,42333200,424270000,66743400,4748700000
2022-01-19,94815000,45933900,488315000,75442500,4465740000
2022-01-20,91420500,35380700,435181000,70488600,4640870000
2022-01-21,122848900,57984400,718958000,103416000,5589100000
2022-01-24,162294600,85731500,913982000,151565700,6928110000
2022-01-25,115798400,72848600,664616000,86595900,5145050000
2022-01-26,108275300,90428900,755959000,104867400,5570640000
2022-01-27,121954600,53481300,573353000,147109500,5214200000
2022-01-28,179935700,49743700,543774000,134789100,5031090000
2022-01-31,115541600,46444500,564680000,104436000,5098610000
2022-02-01,86213900,40950400,518925000,73138200,4816830000
2022-02-02,84914300,36636000,543419000,66792900,4481580000
2022-02-03,89418100,43730000,410178000,78855600,4401970000
2022-02-04,82465400,35096500,354829000,73625400,4706290000
2022-02-07,77251200,28533300,376868000,60994500,4228480000
2022-02-08,74829200,32421200,410359000,50729100,4459620000
2022-02-09,71285000,31284700,524282000,52259400,4524350000
2022-02-10,90865900,45386200,513200000,66126900,5314860000
2022-02-11,98670700,39175600,605472000,79645800,5251500000
2022-02-14,86185500,36359500,440424000,67756500,4600390000
2022-02-15,62527400,27058300,699869000,57286200,4430830000
2022-02-16,61177400,29982100,732676000,51294300,4283640000
2022-02-17,69589300,32461600,810595000,55178400,4539420000
2022-02-18,82772700,34264000,761255000,68501700,4708060000
2022-02-22,91162800,41736100,633422000,83288100,5121900000
2022-02-23,90009200,37811200,566511000,95256900,4797430000
2022-02-24,141147500,56989700,735801000,135322200,6752130000
2022-02-25,91974200,32546700,528866000,76067700,5177060000
2022-02-28,95056600,34627500,477319000,99006900,6071370000
2022-03-01,83474400,31217800,412056000,74766900,5846230000
2022-03-02,79724800,31873000,389642000,74643300,5337870000
2022-03-03,76678400,27314500,365095000,61623600,5039890000
2022-03-04,83737200,32356500,431415000,66999600,5797380000
2022-03-07,96418800,43157200,450821000,72494100,6940470000
2022-03-08,131148300,48159500,557467000,80399100,7243120000
2022-03-09,91454900,35204500,492742000,59184000,5662670000
2022-03-10,105342000,30628000,428066000,58648500,4980830000
2022-03-11,96970100,27209300,367209000,67037100,4938640000
2022-03-14,108732100,30660700,385354000,71152200,5574920000
2022-03-15,92964300,34245100,491996000,66841200,5392470000
2022-03-16,102300200,37826300,671422000,84028800,6309750000
2022-03-17,75615400,30816600,471941000,66582900,4985090000
2022-03-18,123511700,43390600,730719000,100414200,8278430000
2022-03-21,95811400,28351200,591727000,81981600,4869820000
2022-03-22,81532000,27599700,547007000,105868500,4754840000
2022-03-23,98062700,25715400,502120000,120676200,4550670000
2022-03-24,90131400,24484500,877379000,68920800,4131390000
2022-03-25,80546200,22566500,579016000,62031600,4305020000
2022-03-28,90371900,29578200,425494000,102506100,4312260000
2022-03-29,100589400,30393400,488984000,73614900,5085910000
2022-03-30,92633200,28163600,463487000,59865000,4385570000
2022-03-31,103049300,33422100,523440000,48992700,4823020000
2022-04-01,78751300,27110500,517235000,54263100,4562940000
2022-04-04,76468400,24289600,397120000,82035900,4547350000
2022-04-05,73401800,23156700,436615000,80075100,4800620000
2022-04-06,89058800,40110400,703833000,89348400,4986830000
2022-04-07,77594700,31411200,557992000,79447200,4821490000
2022-04-08,76575500,24361900,524781000,55013700,4083200000
2022-04-11,72246700,34569300,575207000,59357100,4266290000
2022-04-12,79265200,30966700,662258000,65976000,4152090000
2022-04-13,70618900,21907200,516943000,55121100,3828150000
2022-04-14,75329400,28221600,569097000,58422300,4083090000
2022-04-18,69023900,20778000,525701000,51715200,3910490000
2022-04-19,67723800,22297700,512781000,49847700,4108120000
2022-04-20,67929800,22906700,468974000,70711200,4290450000
2022-04-21,87227800,29454600,656209000,105416400,4636890000
2022-04-22,84882400,29405800,624713000,69696600,4651940000
2022-04-25,96046400,35678900,641566000,68341200,5240040000
2022-04-26,95623200,46518400,653143000,136133700,4689970000
2022-04-27,88063200,63477700,499460000,76956300,4769680000
2022-04-28,130216800,33646600,570327000,124948500,4854180000
2022-04-29,131747600,37073900,500435000,88133100,5084030000
2022-05-02,123055300,35151100,572049000,75781500,5163790000
2022-05-03,88966500,25978600,475751000,63709500,4582050000
2022-05-04,108256500,33599300,648855000,81643800,5136360000
2022-05-05,130525300,43260400,626331000,92519100,5077030000
2022-05-06,116124600,37780300,633297000,72903000,5116940000
2022-05-09,131577900,47726000,644455000,90810300,5954520000
2022-05-10,115366700,39336400,761474000,84401700,5885820000
2022-05-11,142689800,48975900,670167000,97224600,5816140000
2022-05-12,182602000,51033800,708728000,140313000,6286450000
2022-05-13,113990900,34925100,670437000,92150700,5183340000
2022-05-16,86643800,32550900,521446000,86098500,4415030000
2022-05-17,78336300,28828800,585830000,80236200,4841410000
2022-05-18,109742900,31356000,545161000,87811800,5103220000
2022-05-19,136095600,32692300,621310000,90296700,5113550000
2022-05-20,137426100,39199300,739105000,144973200,5130730000
2022-05-23,117726300,33175400,639889000,88903500,4420030000
2022-05-24,104132700,29043900,588550000,89092500,4923190000
2022-05-25,92482700,28547900,781132000,92139300,4802560000
